id,domain,difficulty,question,reference_answer
1,Machine Learning,Easy,What is supervised learning in Machine Learning?,"Supervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
2,Machine Learning,Medium,Why is supervised learning important in a real interview or project?,"Supervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
3,Machine Learning,Easy,What mistake do beginners often make with supervised learning?,"Supervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
4,Machine Learning,Medium,How would you apply supervised learning in a realistic Machine Learning workflow?,"For supervised learning, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
5,Machine Learning,Medium,How would you evaluate whether supervised learning was working correctly?,"For supervised learning, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
6,Machine Learning,Medium,Compare supervised learning with a simpler alternative.,"For supervised learning, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
7,Machine Learning,Hard,A project result looks suspicious after using supervised learning. How would you debug it?,"For supervised learning, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
8,Machine Learning,Hard,What interview follow-up would you expect after explaining supervised learning?,"For supervised learning, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
9,Machine Learning,Hard,When would you avoid using supervised learning?,"For supervised learning, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
10,Machine Learning,Hard,Design an end-to-end solution that uses supervised learning under production constraints.,"A strong advanced answer on supervised learning should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
11,Machine Learning,Easy,What are the main edge cases and failure modes for supervised learning?,"A strong advanced answer on supervised learning should identify subtle risks, diagnostic signals, and mitigation strategies. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
12,Machine Learning,Medium,How would you explain the trade-offs of supervised learning to a technical panel?,"A strong advanced answer on supervised learning should balance theory, implementation detail, evidence, and business impact. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
13,Machine Learning,Easy,What is unsupervised learning in Machine Learning?,"Unsupervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
14,Machine Learning,Medium,Why is unsupervised learning important in a real interview or project?,"Unsupervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
15,Machine Learning,Easy,What mistake do beginners often make with unsupervised learning?,"Unsupervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
16,Machine Learning,Medium,How would you apply unsupervised learning in a realistic Machine Learning workflow?,"For unsupervised learning, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
17,Machine Learning,Medium,How would you evaluate whether unsupervised learning was working correctly?,"For unsupervised learning, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
18,Machine Learning,Medium,Compare unsupervised learning with a simpler alternative.,"For unsupervised learning, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
19,Machine Learning,Hard,A project result looks suspicious after using unsupervised learning. How would you debug it?,"For unsupervised learning, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
20,Machine Learning,Hard,What interview follow-up would you expect after explaining unsupervised learning?,"For unsupervised learning, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
21,Machine Learning,Hard,When would you avoid using unsupervised learning?,"For unsupervised learning, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
22,Machine Learning,Hard,Design an end-to-end solution that uses unsupervised learning under production constraints.,"A strong advanced answer on unsupervised learning should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
23,Machine Learning,Easy,What are the main edge cases and failure modes for unsupervised learning?,"A strong advanced answer on unsupervised learning should identify subtle risks, diagnostic signals, and mitigation strategies. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
24,Machine Learning,Medium,How would you explain the trade-offs of unsupervised learning to a technical panel?,"A strong advanced answer on unsupervised learning should balance theory, implementation detail, evidence, and business impact. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
25,Machine Learning,Easy,What is linear regression in Machine Learning?,"Linear Regression is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
26,Machine Learning,Medium,Why is linear regression important in a real interview or project?,"Linear Regression is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
27,Machine Learning,Easy,What mistake do beginners often make with linear regression?,"Linear Regression is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
28,Machine Learning,Medium,How would you apply linear regression in a realistic Machine Learning workflow?,"For linear regression, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
