id,domain,difficulty,question,answer
1,DATA_ANALYSIS,Easy,What is R2? What are some other metrics that could be better than R2 and why?,goodness of fit measure. variance explained by the regression / total variance. the more predictors you add the higher R^2 becomes. hence use adjusted R^2 which adjusts for the degrees of freedom or train error metrics.
2,DATA_ANALYSIS,Medium,What is the curse of dimensionality?,"High dimensionality makes clustering hard, because having lots of dimensions means that everything is ""far away"" from each other. For example, to cover a fraction of the volume of the data we need to capture a very wide range for each variable as the number of variables increases All samples are close to the edge of the sample. And this is a bad news because prediction is much more difficult near the edges of the training sample. The sampling density decreases exponentially as p increases and hence the data becomes much more sparse without significantly more data. We should conduct PCA to reduce dimensionality."
3,DATA_ANALYSIS,Easy,Is more data always better?,"- Statistically, It depends on the quality of your data, for example, if your data is biased, just getting more data won’t help. It depends on your model. If your model suffers from high bias, getting more data won’t improve your test results beyond a point. You’d need to add more features, etc. - Practically, Also there’s a tradeoff between having more data and the additional storage, computational power, memory it requires. Hence, always think about the cost of having more data."
4,DATA_ANALYSIS,Easy,What are advantages of plotting your data before per- forming analysis?,"Data sets have errors. You won't find them all but you might find some. That 212 year old man. That 9 foot tall woman. Variables can have skewness, outliers etc. Then the arithmetic mean might not be useful. Which means the standard deviation isn't useful. Variables can be multimodal! If a variable is multimodal then anything based on its mean or median is going to be suspect."
5,DATA_ANALYSIS,Medium,How can you make sure that you don’t analyze something that ends up meaningless?,"Proper exploratory data analysis. In every data analysis task, there's the exploratory phase where you're just graphing things, testing things on small sets of the data, summarizing simple statistics, and getting rough ideas of what hypotheses you might want to pursue further. Then there's the exploitatory phase, where you look deeply into a set of hypotheses. The exploratory phase will generate lots of possible hypotheses, and the exploitatory phase will let you really understand a few of them. Balance the two and you'll prevent yourself from wasting time on many things that end up meaningless, although not all."
6,DATA_ANALYSIS,Medium,What is the role of trial and error in data analysis? What is the the role of making a hypothesis before diving in?,"data analysis is a repetition of setting up a new hypothesis and trying to refute the null hypothesis. The scientific method is eminently inductive: we elaborate a hypothesis, test it and refute it or not. As a result, we come up with new hypotheses which are in turn tested and so on. This is an iterative process, as science always is."
7,DATA_ANALYSIS,Medium,How can you determine which features are the most important in your model?,run the features though a Gradient Boosting Machine or Random Forest to generate plots of relative importance and information gain for each feature in the ensembles. Look at the variables added in forward variable selection
8,DATA_ANALYSIS,Medium,How do you deal with some of your predictors being missing?,"Remove rows with missing values - This works well if 1) the values are missing randomly 2) if you don't lose too much of the dataset after doing so. Build another predictive model to predict the missing values - This could be a whole project in itself, so simple techniques are usually used here. Use a model that can incorporate missing data \- Like a random forest, or any tree-based method."
9,DATA_ANALYSIS,Hard,"You have several variables that are positively correlated with your response, and you think combining all of the variables could give you a good prediction of your response. However, you see that in the multiple linear regression, one of the weights on the predictors is negative. What could be the issue?","Multicollinearity refers to a situation in which two or more explanatory variables in a model are highly linearly related. Leave the model as is, despite multicollinearity. The presence of multicollinearity doesn't affect the efficiency of extrapolating the fitted model to new data provided that the predictor variables follow the same pattern of multicollinearity in the new data as in the data on which the regression model is based. principal component regression"
10,DATA_ANALYSIS,Easy,Let’s say you’re given an unfeasible amount of predictors in a predictive modeling task. What are some ways to make the prediction more feasible?,- PCA
11,DATA_ANALYSIS,Medium,"Now you have a feasible amount of predictors, but you’re fairly sure that you don’t need all of them. How would you perform feature selection on the dataset?","ridge / lasso / elastic net regression Univariate Feature Selection where a statistical test is applied to each feature individually. You retain only the best features according to the test outcome scores ""Recursive Feature Elimination"": First, train a model with all the feature and evaluate its performance on held out data. Then drop let say the 10% weakest features (e.g. the feature with least absolute coefficients in a linear model) and retrain on the remaining features. Iterate until you observe a sharp drop in the predictive accuracy of the model."
12,DATA_ANALYSIS,Hard,Your linear regression didn’t run and communicates that there are an infinite number of best estimates for the regression coefficients. What could be wrong?,p > n. If some of the explanatory variables are perfectly correlated (positively or negatively) then the coefficients would not be unique.
