id,domain,difficulty,question,answer
ml_gen_0001,Machine Learning,Easy,What is supervised learning in Machine Learning?,"Supervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
ml_gen_0002,Machine Learning,Easy,Why is supervised learning important in a real interview or project?,"Supervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
ml_gen_0003,Machine Learning,Easy,What mistake do beginners often make with supervised learning?,"Supervised Learning is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
ml_gen_0004,Machine Learning,Medium,How would you apply supervised learning in a realistic Machine Learning workflow?,"For supervised learning, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
ml_gen_0005,Machine Learning,Medium,How would you evaluate whether supervised learning was working correctly?,"For supervised learning, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
ml_gen_0006,Machine Learning,Medium,Compare supervised learning with a simpler alternative.,"For supervised learning, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
ml_gen_0007,Machine Learning,Medium,A project result looks suspicious after using supervised learning. How would you debug it?,"For supervised learning, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
ml_gen_0008,Machine Learning,Medium,What interview follow-up would you expect after explaining supervised learning?,"For supervised learning, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
ml_gen_0009,Machine Learning,Medium,When would you avoid using supervised learning?,"For supervised learning, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
ml_gen_0010,Machine Learning,Hard,Design an end-to-end solution that uses supervised learning under production constraints.,"A strong advanced answer on supervised learning should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
